chair 's message nan nan 2001|fact division chair 's message ak gupta  d mahr nan nan|0
an efficient algorithm for mining association rules in large databases a savasere  e omiecinski  s navathe vldb 1995|an efficient algorithm for mining association rules in large databases a savasere  e omiecinski  s navathe nan 1995.0|1
the mirror mmdbms architecture a vries  m doorn  h blanken  p apers vldb 1999|the mirror mmdbms architecture a de vries  m van doorn  h blanken  p apers proceedings of the international conference on very large & hellip ;  1999.0|1
vqbd : exploring semistructured data s chawathe  t baby  j yeo sigmod conference 2001|semistructured data  may 1997 p buneman tutorial sigmod nan|0
optimizing queries using materialized views : a practical  scalable solution j goldstein  p larson sigmod conference 2001|optimizing queries using materialized views : a practical  scalable solution j goldstein  pa larson sigmod conference  2001.0|1
watermarking relational databases r agrawal  j kiernan vldb 2002|beyond relational databases ms jackson information and software technology  1990.0|0
formal query languages for secure relational databases m winslett  k smith  x qian acm trans . database syst . 1994|physical database design for relational databases s finkelstein  m schkolnick  p tiberio acm transactions on database systems  1988.0|0
scalable sweeping-based spatial join l arge  o procopiuc  s ramaswamy  t suel  j vitter vldb 1998|j. . s. vitter . scalable sweeping-based spatial join l arge  o procopiuc  s ramaswamy  t suel proceedings of the international conference on very large & hellip ;  nan|1
incremental clustering for mining in a data warehousing environment m ester  h kriegel  j sander  m wimmer  x xu vldb 1998|view maintenance in a warehousing environment [ c ] y zhuge  h garcia-molina  j hammer ?  proceedings of acm sigmod confer-ence  san jose  ca  nan|0
push technology personalization through event correlation a adi  d botzer  o etzion  t yatzkar-haham vldb 2000|push technology personalization through event correlation  demo  proceed a adi  d botzer  o etzion  t yatzkar-haham nan 2000.0|1
roadrunner : towards automatic data extraction from large web sites v crescenzi  g mecca  p merialdo vldb 2001|automatic annotation of data extracted from large web sites l arlotta  v crescenzi  g mecca  p merialdo nan nan|0
the ores temporal database management system b theodoulidis  a ait-braham  g andrianopoulos  j chaudhary  g karvelis  s sou sigmod conference 1994|ranksql : supporting ranking queries in relational database management systems c li  ma soliman  kcc chang  if ilyas vldb  demonstration  2005.0|0
autoadmin ` what-if ' index analysis utility s chaudhuri  v narasayya sigmod conference 1998|autoadmin ` what-if ` index analysis utility s chaudhuri  v narasayya nan nan|1
efficient ir-style keyword search over relational databases v hristidis  l gravano  y papakonstantinou vldb 2003|indexing relational database content offline for efficient keyword-based search q su  j widom nan 2003.0|0
mv3r-tree : a spatio-temporal access method for timestamp and interval queries y tao  d papadias vldb 2001|the mv3r-tree : a spatio-temporal access method for timestamp and interval queries - group of 4 & raquo ; y tao  d papadias proceedings of the 27th international conference on very & hellip ;  2001.0|1
an efficient bitmap encoding scheme for selection queries c chan  y ioannidis sigmod conference 1999|an efficient bitmap encoding scheme for selection queries  sigmod 1999 c chan  ye ioannidis proceedings acm sigmod international conference on & hellip ;  nan|1
scalable parallel data mining for association rules e han  g karypis  v kumar sigmod conference 1997|parallel mining algorithms for generalized association rules with classification t shintani  m kitsuregawa proceedings of the 1998 acm sigmod international conference & hellip ;  nan|0
relational data sharing in peer-based data management systems b ooi  y shu  k tan sigmod record 2003|an approach to implementing a relational data base management system jb rothnie proc . acm sigmod workshop on data description  access and & hellip ;  nan|0
the lham log-structured history data access method p muth  p o'neil  a pick  g weikum vldb j. 2000|the lham log-structured history data access method p muth  po ` neil  a pick  g weikum the vldb journal the international journal on very large & hellip ;  2000.0|1
keynote address nan nan 1995|keynote address r reich & hellip ; labor  bureau of international labor affairs  international & hellip ;  nan|0
information warfare and security - book review nan nan 2001|an information security handbook jmd hunter nan 2001.0|0
query rewriting for semistructured data y papakonstantinou  v vassalos sigmod conference 1999|capturing and querying multiple aspects of semistructured data ce dyreson  mh bohlen  cs jensen proceedings of the international conference on very large & hellip ;  1999.0|0
caprera : an activity framework for transaction processing on wide-area networks s kumar  e kwang  d agrawal vldb 1997|caprera : an activity framework for transaction processing on wide-area networks s kumar  ek kwang  d agrawal proceedings of the international conference on very large & hellip ;  1997.0|1
editorial nan nan 2001|guest editorial a el abbadi  g schlageter  ky whang the vldb journal the international journal on very large & hellip ;  2001.0|0
the ccube constraint object-oriented database system a brodsky  v segal  j chen  p exarkhopoulo sigmod conference 1999|on using prolog to implement object-oriented databases nw paton  s leishman  sm embury  pmd gray information and software technology  1993.0|0
research directions in biodiversity informatics j schnase vldb 2000|research directions in biodiversity informatics jl schnase proceedings of the international conference on very large & hellip ;  2000.0|1
birch : an efficient data clustering method for very large databases t zhang  r ramakrishnan  m livny sigmod conference 1996| cents  ?   ? cents birch : an efficient data clustering method for very large databases cents  ?   ? cents t zhang  r ramakrishnan  m linvy proc . acm sigmod int . conf . on management of data  acm press  nan|1
maintenance of implication integrity constraints under updates to constraints n ishakbeyoglu  z zsoyoglu vldb j. 1998|integration of integrity constraints for data warehouse n essoussi  l riadi-isg  mb ahmed  l riadi-ensi nan nan|0
unql : a query language and algebra for semistructured data based on structural recursion p buneman  m fernandez  d suciu vldb j. 2000|unql : a query language and algebra for semistructured data based on structural recursion p buneman  m fernandez  d suciu the vldb journal the international journal on very large & hellip ;  2000.0|1
discovery of multiple-level association rules from large databases j han  y fu vldb 1995|mining association rules between sets ofitems in large databases r agrawal  t imielinski  a swami conference on management of data . washington  nan|0
data-driven  one-to-one web site generation for data-intensive applications s ceri  p fraternali  s paraboschi vldb 1999|declarative specification of data-intensive web sites m fernandez nan nan|0
unisql/x unified relational and object-oriented database system w kim sigmod conference 1994|the trigs active object-oriented database system - an overview g kappel  w retschitzegger sigmod record  1998.0|0
integrating contents and structure in text retrieval r baeza-yates  g navarro sigmod record 1996|integrating contents and structure in text traversal r baeza-yates  g navarro sigmod record  nan|1
watermarking relational databases r agrawal  j kiernan vldb 2002|joining interval data in relational databases j enderle  m hampel  t seidl proceedings of the 2004 acm sigmod international conference & hellip ;  2004.0|0
adept : an agent-based approach to business process management n jennings  t norman  p faratin sigmod record 1998|adept : an agent-based approach to business process management . acms anthology sigmod record  1998.0|1
query processing and optimization in oracle rdb g antoshenkov  m ziauddin vldb j. 1996|query caching and optimization in mediator systems s adali  s candan  y papakonstantinou  vs acm nan|0
delaunay : a database visualization system i cruz  m averbuch  w lucas  m radzyminski  k zhang sigmod conference 1997|delaunay : a database visualization system if cruz  m averbuch  wt lucas  m radzyminski  k nan nan|1
materialized view selection for multidimensional datasets a shukla  p deshpande  j naughton vldb 1998|subspace selection for clustering high-dimensional data c baumgartner  c plant  k kailing  hp kriegel  p nan nan|0
incremental maintenance of views with duplicates t griffin  l libkin sigmod conference 1995|incremental maintenance od externally materialized views m staudy  m jarke the proceedings of the 22th very large database ( vldb ) & hellip ;  nan|0
netcube : a scalable tool for fast data mining and compression d margaritis  c faloutsos  s thrun vldb 2001|netcube : a scalable tool for fast data mining and compression dmcfs thrun nan nan|1
a new approach to developing and implementing eager database replication protocols b kemme  g alonso acm trans . database syst . 2000|a new approach to developing and implementing eager database replication protocols b kemme  g alonso acm transactions on database systems  2000.0|1
the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbar  h garcia-molina vldb j. 1994|a model for optimal database allocation in distributed computer systems gm chiu  cs raghavendra ieee computer  nan|0
xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data s berger  f bry  s schaffert  c wieser vldb 2003|xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data f bry  s berger  s schaffert proceedings of the 29 thintl . conference on very large & hellip ;  nan|1
view management in multimedia databases k candan  e lemar  v subrahmanian vldb j. 2000|multimedia database management systems a ghafoo17 acm computing surveys  1995.0|0
online aggregation j hellerstein  p haas  h wang sigmod conference 1997|online aggregation jm hellerstein nan nan|1
proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation a datta  k dutta  h thomas  d vandermeer  s suresha  k ramamritham sigmod conference 2002|e.  suresha  and ramamritham  krithi ( 2002 ) . proxy-based acceleration of dynamically generated a datta  k dutta  hm thomas  d vandermeer proceedings of 2002 acm sigmod conference  madison  & hellip ;  nan|0
data mining in the bioinformatics domain s tsur vldb 2000|data mining in the bioinformatics domain s tsur proceedings of the international conference on very large & hellip ;  2000.0|1
query unnesting in object-oriented databases l fegaras sigmod conference 1998|join index hierarchies for supporting efficient navigations in object-oriented databases z xie  j han vldb  1994.0|0
materialized view selection and maintenance using multi-query optimization h mistry  p roy  s sudarshan  k ramamritham sigmod conference 2001|materialized view selection in a multidimensional database e baralis  s paraboschi  e teniente vldb  1997.0|0
on parallel processing of aggregate and scalar functions in object-relational dbms m jaedicke  b mitschang sigmod conference 1998|aggregate processing in parallel rdbms a shatdal  jf naughton proceedings of the acm sigmod conference  san jose  & hellip ;  nan|0
a system for watermarking relational databases r agrawal  p haas  j kiernan sigmod conference 2003|architecture for automatic relational database system conversion . b shneiderman  g thomas acm transactions on database systems  1982.0|0
concurrent garbage collection in o2 m skubiszewski  p valduriez vldb 1997|compact garbage collection tables d tarditi nan nan|0
duplicate removal in information system dissemination t yan  h garcia-molina vldb 1995|duplicate removal in information system dissemination tw yan  h garcia-molina proceedings of the 21th international conference on very & hellip ;  1995.0|1
efficient concurrency control in multidimensional access methods k chakrabarti  s mehrotra sigmod conference 1999|efficient concurrency control in multidimensional access methods k chakrabarti  s mehrotra sigmod conference  1999.0|1
index nesting - an efficient approach to indexing in object-oriented databases b ooi  j han  h lu  k tan vldb j. 1996|w. b & x ?? a ?? object-oriented approach to multimedia databases ?? dww kim proceedings of acm sigmod  nan|0
declarative updates of relational databases w chen acm trans . database syst . 1995|watermarking relational databases j kiernan  r agrawal proceedings of the 28th international conference on very & hellip ;  nan|0
a normal form for precisely characterizing redundancy in nested relations w mok  y ng  d embley acm trans . database syst . 1996|form for nested relations zm ?zsoyoglu  lyyan normal acm transactions on database systems  nan|0
discovery of multiple-level association rules from large databases j han  y fu vldb 1995|discovery of multiple-level association rules from large databases in proc . 1995 vldb j han  y fu zurich  switzerland  sept  nan|1
poesia : an ontological workflow approach for composing web services in agriculture r fileto  l liu  c pu  e assad  c medeiros vldb j. 2003|poesia?an ontological workflow approachfor composing web services in agriculture  '' r fileto  l liu  c pu  cb medeiros  e assad the vldb journal  nan|1
a survey and critique of advanced transaction models c mohan sigmod conference 1994|tutorial : advanced transaction models-survey and critique c mohan acm sigmod international conference on management of data  & hellip ;  1994.0|1
indexing the positions of continuously moving objects s saltenis  c jensen  s leutenegger  m lopez sigmod conference 2000|ma l opez . indexing the position of continuously moving objects s saltenis  cs jensen  s leutenegger proc . of the acm sigmod conference on management of data  & hellip ;  nan|1
approximate string joins in a database ( almost ) for free l gravano  p ipeirotis  h jagadish  n koudas  s muthukrishnan  d srivastava vldb 2001|approximate string joins in a database ( almost ) for free l gravano  pg ipeirotis  hv jagadish  n koudas  s proceedings of the international conference on very large & hellip ;  2001.0|1
the pyramid-technique : towards breaking the curse of dimensionality s berchtold  c bhm  h kriegel sigmod conference 1998|the pyramid-technique : towards breaking the curse of dimensional data spaces s berchtold  d keim  hp kriegel proc . acm sigmod int . conf . managment of data  seattle  nan|1
formal query languages for secure relational databases m winslett  k smith  x qian acm trans . database syst . 1994|normal forms and relational database operators r fagin nan nan|0
the aditi deductive database system j vaghani  k ramamohanarao  d kemp  z somogyi  p stuckey  t leask  j harland vldb j. 1994|the aditi deductive database system j vaghanl  k ramamohanarao  db kemp  z somogyi  pj the vldb journal the international journal on very large & hellip ;  1994.0|1
replication : db2  oracle  or sybase ? d stacey sigmod record 1995|replication : db2  oracleorsybase  databaseprogramminganddesign  7 ( 12 ) . reprinted in d stacey sigmod record  nan|0
scientific data repositories : designing for a moving target e stolte  c praun  g alonso  t gross sigmod conference 2003|scientific data repositories : designing for a moving target e stolte  c praun  g alonso  tr gross sigmod conference  2003.0|1
spatial hash-joins m lo  c ravishankar sigmod conference 1996|spatial hash-joins ml lo  cv ravishankar proceedings of the 1996 acm sigmod international conference & hellip ;  1996.0|1
a taxonomy for secure object-oriented databases m olivier  s solms acm trans . database syst . 1994|methodology for index configurations in object-oriented databases ks sang  jl yoon information sciences  1996.0|0
self-similarity in the web s dill  r kumar  k mccurley  s rajagopalan  d sivakumar  a tomkins vldb 2001|self-similarity in the web . 2 : 205 ?? 223 s dill  r kumar  ks mccurley  s rajagopalan  d nan 2002.0|1
discovering all most specific sentences d gunopulos  r khardon  h mannila  s saluja  h toivonen  r sharm acm trans . database syst . 2003|discovering all most specific sentences d gunopulos  r khardon  h mannila  s saluja  h acm transactions on database systems  2003.0|1
shrinking the warehouse update window w labio  r yerneni  h garcia-molina sigmod conference 1999|shrinking the warehouse update window wj labio  r yerneni nan nan|1
unisql 's next-generation object-relational database management system a d'andrea  p janus sigmod record 1996|access path selection in a relational database management system pg selinger  mm astrahan  dd chamberlin sigmod conference  1979.0|0
dbcache : middle-tier database caching for highly scalable e-business architectures c bornhvd  m altinel  s krishnamurthy  c mohan  h pirahesh  b reinwald sigmod conference 2003|dbcache : middle-tier database caching for highly scalable e-business architectures c bornh  vd  m altinel  s krishnamurthy  c mohan  proceedings of the 2003 acm sigmod international conference & hellip ;  2003.0|1
the aditi deductive database system j vaghani  k ramamohanarao  d kemp  z somogyi  p stuckey  t leask  j harland vldb j. 1994|locking primitives in a database system hf korth journal of the acm ( jacm )  1983.0|0
secure buffering in firm real-time database systems b george  j haritsa vldb 1998|secure buffering in  rm real-time database systems b george  j haritsa journal on very large data bases ( vldb )  nan|1
cure : an efficient clustering algorithm for large databases s guha  r rastogi  k shim sigmod conference 1998|cure : an efficient clustering algorithm for large databases s guha  r rastogi  k shim information systems  2001.0|1
incremental maintenance for materialized views over semistructured data s abiteboul  j mchugh  m rys  v vassalos  j wiener vldb 1998|incremental maintenance for materialized views over semistructured data  1998 s abiteboul  j mchugh  m rys  v vassalos  j wiener stanford university technical nan|1
on effective multi-dimensional indexing for strings h jagadish  n koudas  d srivastava sigmod conference 2000|multi-dimensional substring selectivity estimation hv jagadish  o kapitskaia  rt ng  d srivastava vldb  1999.0|0
the ccube constraint object-oriented database system a brodsky  v segal  j chen  p exarkhopoulo sigmod conference 1999|query unnesting in object-oriented databases l fegaras nan nan|0
repositories and object oriented databases p bernstein sigmod record 1998|multidimensional version for object-oriented databases e sciore proceedings vldb  nan|0
optimizing queries across diverse data sources l haas  d kossmann  e wimmers  j yang vldb 1997|andj . yans . optimizing queries across diverse data sources lm haas  d kossmann  el wimmers proc . 23rd vldb nan|1
the propel distributed services platform m carey  s kirsch  m roth  b linden  n adiba  m blow  d florescu  d li  i oprencak  r panwar  r qi  d rieber  j shafer  b sterling  t urhan  b vickery  d wineman  k yee vldb 2001|the propel distributed services platform m carey  s kirsch  m roth  b van der linden  n proceedings of the international conference on very large & hellip ;  2001.0|1
approximate join processing over data streams a das  j gehrke  m riedewald sigmod conference 2003|approximate frequency counts over data streams m charikar  k chen  m farach-colton in proc . of 29th int . colloq . on automata  languages and & hellip ;  nan|0
flowback : providing backward recovery for workflow systems b kiepuszewski  r mhlberger  m orlowska sigmod conference 1998|flowback : providing backward recovery for workflow management b kiepuszewski  r muhlberger  me orlowska proc . of the acm sigmod int . conference on management of nan|1
rainforest - a framework for fast decision tree construction of large datasets j gehrke  r ramakrishnan  v ganti vldb 1998|rainforest ?? a framework for fast decision tree construction of large datasets j gehrke  r ramakrishnan  v ganti data mining and knowledge discovery  2000.0|1
sql and management of external data j melton  j michels  v josifovski  k kulkarni  p schwarz  k zeidenstein sigmod record 2001|sql and management of external data j melton  je michels  v josifovski  k kulkarni  p acm sigmod record  2001.0|1
data placement in shared-nothing parallel database systems m mehta  d dewitt vldb j. 1997|data placement in shared-nothing parallel database systems m mehta  dj dewitt the vldb journal the international journal on very large & hellip ;  1997.0|1
incremental organization for data recording and warehousing h jagadish  p narayan  s seshadri  s sudarshan  r kanneganti vldb 1997|incremental organization for data recording and warehousing  s seshadri proceedings of the international conference on very large & hellip ;  1997.0|1
an effective hash based algorithm for mining association rules j park  m chen  p yu sigmod conference 1995|fast algorithms for mining generalized association rules r agrawal  r srikant proceedings of the 20th international conference on very & hellip ;  nan|0
mining generalized association rules r srikant  r agrawal vldb 1995|efficient mining of association rules in distributed databases dw cheung  vt ng  aw fu knowledge and data engineering  ieee transactions on  1996.0|0
oracle media server : providing consumer based interactive access to multimedia data a laursen  j olkin  m porter sigmod conference 1994|oracle media server : providing consumer based interactive access to multimedia data a laursen  j olkin  m porter sigmod conference  1994.0|1
distributed deviation detection in sensor networks t palpanas  d papadopoulos  v kalogeraki  d gunopulos sigmod record 2003|sia : secure information aggregation in sensor networks b przydatek  d song  a perrig proceedings of acm sensys  2003.0|0
xml repository and active views demonstration s abiteboul  v aguilera  s ailleret  b amann  s cluet  b hills  f hubert  j mamou  a marian  l mignet  t milo  c santos  b tessier  a vercoustre vldb 1999|xml repository and active views demonstration s abiteboul proceedings of the international conference on very large & hellip ;  1999.0|1
leveraging the information asset j perna sigmod conference 1995|managing the evolution of information systems m jarke  t rose proc . sigmod  nan|0
data placement in shared-nothing parallel database systems m mehta  d dewitt vldb j. 1997|the medusa project : autonomous data management in a shared-nothing parallel database machine gm bryan  we moore  bj curry  kw lodge  j geyer proceedings of the 1994 acm sigmod international conference & hellip ;  1994.0|0
spatial joins using seeded trees m lo  c ravishankar sigmod conference 1994|1994 . spatial joins using seeded trees m lo  c ravishankar proc . acm sigmod int . conf . on management of nan|1
guest editor 's introduction nan nan 2002|computer-supported cooperative work - guest editors ' introduction jd palmer  na fields ieee computer  nan|0
calibrating the query optimizer cost model of iro-db  an object-oriented federated database system g gardarin  f sha  z tang vldb 1996|calibrating the query optimizer cost model of iro-db  an object-oriented federated database system g gardarin  f sha  zh tang proceedings of the international conference on very large & hellip ;  1996.0|1
multi-dimensional database allocation for parallel data warehouses t sthr  h mrtens  e rahm vldb 2000|a foundation for multi-dimensional databases m gyssens  lvs lakshmanan nan nan|0
ordered shared locks for real-time databases d agrawal  a abbadi  r jeffers  l lin vldb j. 1995|ordered shared locks for real-time databases d agrawal  a el abbadi  r jeffers  l lin the vldb journal the international journal on very large & hellip ;  1995.0|1
issues in data stream management l golab  m zsu sigmod record 2003|load shedding in a data stream manager m cherniack  cu zs  n tatbul proc of 29th international conference on vldb  september  nan|0
the case for enhanced abstract data types p seshadri  m livny  r ramakrishnan vldb 1997|andr . ramakrishnan . the case forenhanced abstract data types p seshadri  m livny inproceedings of the23th vldb conference  athens  greece  & hellip ;  nan|1
lore : a database management system for semistructured data j mchugh  s abiteboul  r goldman  d quass  j widom sigmod record 1997|lore : a database management system for semistructured data s abiteboul  j mchugh  d quass  j widom  r goldman sigmod record  nan|1
cache conscious indexing for decision-support in main memory j rao  k ross vldb 1999|cache conscious indexing fordecision-support inmainmemory jrka ross proceedings of the 25th international conference on very & hellip ;  nan|1
efficient and effective clustering methods for spatial data mining r ng  j han vldb 1994|e cient and effective clusteringmethodforspatialdatamining r ng  j han proc . 1994 int . conf . very large data bases  pages144 { 155  nan|1
efficient algorithms for minimizing tree pattern queries p ramanan sigmod conference 2002|new algorithms for efficient mining of association rules l shen  h shen  l cheng nan nan|0
research in database engineering at the university of namur j hainaut sigmod record 2003|research in database engineering at the university of namur jl hainaut sigmod record  2003.0|1
agora : living with xml and relational i manolescu  d florescu  d kossmann  f xhumari  d olteanu vldb 2000|agora : living with xml and relational dkfxd olteanu  i manolescu  d florescu proceedings of the 26th vldb conference  cairo  egypt  nan|1
adaptive filters for continuous queries over distributed data streams c olston  j jiang  j widom sigmod conference 2003|mt 2003 . processing sliding window multi-joins in continuous queries over data streams lo golab proc . of the conf . on very large databases nan|0
microsoft site server ( commerce edition ) b ojjeh sigmod conference 1999|microsoft site server ( commerce ed . ) : talk-slides available at the conference b ojjeh proceedings of the 1999 acm sigmod international conference & hellip ;  1999.0|1
semantic data caching and replacement s dar  m franklin  b jnsson  d srivastava  m tan vldb 1996| ? .  srivastava  d.  and tan  m.  1996  semantic data caching and replacement s dar  mj franklin  b j  nsson & hellip ; of the 22 thinternational conference on very large data nan|1
irisnet : an architecture for internet-scale sensing services s nath  a deshpande  y ke  p gibbons  b karp  s seshan vldb 2003|irisnet : an architecture for internet-scale sensing services . demo and abstract in s nath  a deshpande  y ke  pb gibbons  b karp  s proceedings of very large databases ( vldb )  nan|1
a framework for supporting data integration using the materialized and virtual approaches r hull  g zhou sigmod conference 1996|a framework for supporting data integration using the materialized and virtual approaches r hull  g zhou sigmod conference  1996.0|1
a comprehensive xquery to sql translation using dynamic interval encoding d dehaan  d toman  m consens  m zsu sigmod conference 2003|a comprehensive xquery to sql translation using dynamic interval encoding d dehaan  d toman  mp consens sigmod conference  2003.0|1
design  implementation  and performance of the lham log-structured history data access method p muth  p o'neil  a pick  g weikum vldb 1998|a log-structured history data access method ( lham )  g weikum nan nan|0
mining quantitative association rules in large relational tables r srikant  r agrawal sigmod conference 1996|mining fuzzy similar association rules from quantitative data sl wang  cy kuo  tp hong nan nan|0
static analysis techniques for predicting the behavior of active database rules a aiken  j hellerstein  j widom acm trans . database syst . 1995|static analysis techniques for predicting the behavior of database production rules a aiken  j widom  jm hellerstein acm transactions on database nan|1
florida international university high performance database research center n rishe  w sun  d barton  y deng  c orji  m alexopoulos  l loureiro  c 0002  m sanchez  a shaposhnikov sigmod record 1995|florida international university high performance database research center n rishe  a shaposhnikov  w sun  d barton  y deng  acm sigmod record  1995.0|1
timber : a native system for querying xml s paparizos  s al-khalifa  a chapman  h jagadish  l lakshmanan  a nierman  j patel  d srivastava  n wiwatwattana  y wu  c yu sigmod conference 2003|timber : a native system for querying xml s paparizos proceedings of the 2003 acm sigmod international conference & hellip ;  2003.0|1
multi-dimensional substring selectivity estimation h jagadish  o kapitskaia  r ng  d srivastava vldb 1999|substring selectivity estimation hv jagadish  d srivastava proc acm sigact sigmod sigart symp princ database syst  1999.0|0
fast similarity search in the presence of noise  scaling  and translation in time-series databases r agrawal  k lin  h sawhney  k shim vldb 1995|k  shim  fast similarity search in the presence of noise  scaling and translation in time series r agrawal  ki lin  hs sawhney proceedings of the 21 vldb nan|1
holistic twig joins : optimal xml pattern matching n bruno  n koudas  d srivastava sigmod conference 2002|andd . srivastava . holistictwigjoins : optimalxmlpatternmatching n bruno  n koudas proc . of the acm sigmod int . conf . on management of nan|1
effective memory use in a media server e chang  h garcia-molina vldb 1997|eflective memory we in a media server e chang  h garcia-molina proceedings of the 233rd vldb conference  nan|1
stream : the stanford stream data manager a arasu  b babcock  s babu  m datar  k ito  i nishizawa  j rosenstein  j widom sigmod conference 2003|stream : the stanford stream data manager ( demonstration description ) a arasu  b babcock  s babu  m datar  k ito  i proceedings of the 2003 acm sigmod international conference & hellip ;  2003.0|1
schemasql - a language for interoperability in relational multi-database systems l lakshmanan  f sadri  i subramanian vldb 1996|schemasql : a language for interoperability in multiple relational databases lv lakshmanan  f sadri  in subramanian nan 1996.0|1
database systems management and oracle8 c doherty sigmod conference 1998|case for output management systems . k schwaber computerworld.  1981.0|0
data-driven  one-to-one web site generation for data-intensive applications s ceri  p fraternali  s paraboschi vldb 1999|data-driven one-to-one web site generation for data-intensive web applications s ceri  p fraternali  s paraboschi proceedings of vldb ?? 99  september 1999  edinburgh  nan|1
banks : browsing and keyword searching in relational databases b aditya  g bhalotia  s chakrabarti  a hulgeri  c nakhe  p parag  s sudarshan vldb 2002|java and relational databases : sqlj g clossman  p shaw sigmod record  1998.0|0
reminiscences an influential papers nan nan 2003|reminiscences on influential papers ka ross sigmod 2002.0|0
minimal probing : supporting expensive predicates for top-k queries k chang  s hwang sigmod conference 2002|cc.  and hwang  sw.  '' minimal probing : supporting expensive predicates for top-k queries  '' k chang proceedings of the 2002 acm sigmod conference  nan|1
dynamic memory adjustment for external mergesort w zhang  p larson vldb 1997|dynamic memory adjustment for external mergesort pa larson  w zhang nan nan|1
database management systems and the internet s malaika vldb 1996|case for output management systems . k schwaber computerworld.  1981.0|0
deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis n krivokapic  a kemper  e gudes vldb j. 1999|speculative locking protocols to improve performance for distributed database systems pk reddy  m kitsuregawa knowledge and data engineering  ieee transactions on  2004.0|0
cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications w li  o po  w hsiung  k candan  d agrawal  y akca  k taniguchi vldb 2003|cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications ws li  o po  wp hsiung  ks candan  d agrawal  y proceedings of the international conference on very large & hellip ;  nan|1
concurrency control in hierarchical multidatabase systems s mehrotra  h korth  a silberschatz vldb j. 1997|concurrency controlina system fordistributed databases ( sdd-1 ) pa bernstein  dw shipman  jb rothnie acm transactions on database systems  nan|0
the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbar  h garcia-molina vldb j. 1994|implementation techniques for main memory database systems dj dewitt  rh katz  f olken  ld shapiro  mr proceedings of the 1984 acm sigmod international conference & hellip ;  1984.0|0
theory of answering queries using views a halevy sigmod record 2000|minicon . a scalable algorithm for answering queries using views r pttinger  a levy vldb journal  nan|0
xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data s berger  f bry  s schaffert  c wieser vldb 2003|xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data s berger  f bry  s schaffert  c wieser proceedings of the international conference on very large & hellip ;  2003.0|1
a practical and modular implementation of extended transaction models r barga  c pu vldb 1995|a practical and modular method to implement extended transaction models . 21 stvldb r barga  c pu zurich  switzerland  nan|1
update propagation protocols for replicated databases y breitbart  r komondoor  r rastogi  s seshadri  a silberschatz sigmod conference 1999|updating replicated data during communications failures bt blaustein  cw kaufman vldb  nan|0
high-performance sorting on networks of workstations a arpaci-dusseau  r arpaci-dusseau  d culler  j hellerstein  d patterson sigmod conference 1997|high-performance sorting on networks of workstations ac arpaci-dusseau  rh arpaci-dusseau  de culler  sigmod conference  1997.0|1
comprehension syntax p buneman  l libkin  d suciu  v tannen  l wong sigmod record 1994|comprehenstion syntax p buneman  l libkin  d suciu  v tannen  l wong acm sigmod record  nan|1
optimization of queries with user-defined predicates s chaudhuri  k shim acm trans . database syst . 1999|optimization with user-defined predicates s chaudhuri  k shim proceedings of the 22nd international conference on very & hellip ;  nan|1
agflow : agent-based cross-enterprise workflow management system l zeng  b benatallah  p nguyen  a ngu vldb 2001|agflow : agent-based cross-enterprise workflow management system l zeng  b benatallah  p nguyen  ahh ngu proceedings of the 27th international conference on very & hellip ;  2001.0|1
caching strategies for data-intensive web sites k yagoub  d florescu  v issarny  p valduriez vldb 2000|homer : a model-based case tool for data-intensive web sites p merialdo  p atzeni  m magnante  g mecca  m sigmod conference  2000.0|0
mpeg-7 and multimedia database systems h kosch sigmod record 2002|view management in multimedia databases ks candan  e lemar  vs subrahmanian the vldb journal the international journal on very large & hellip ;  2000.0|0
implementation of two semantic query optimization techniques in db2 universal database q cheng  j gryz  f koo  t leung  l liu  x qian  k schiefer vldb 1999|implementation techniquesfor main memory database systems d dewitt  r katz  f olken  l shapiro  mr proceedings of the acm sigmod international conference on & hellip ;  nan|0
fast algorithms for mining association rules in large databases r agrawal  r srikant vldb 1994|sampling largc database for association rules h tovienven usa : proc of vldb . 1996.134 ~ nan|0
revisiting commit processing in distributed database systems r gupta  j haritsa  k ramamritham sigmod conference 1997|multi-objective query processing for database systems wt balke  u guntzer proceedings of the international conference on very large & hellip ;  nan|0
a case for intelligent disks ( idisks ) k keeton  d patterson  j hellerstein sigmod record 1998|a case for intelligent disks ( idisks ) k keeton  da patterson  jm hellerstein sigmod record  1998.0|1
a framework for semantic gossiping k aberer  p cudr-mauroux  m hauswirth sigmod record 2002|a framework for semantic gossiping k aberer  m hauswirth sigmod record  2002.0|1
join index hierarchies for supporting efficient navigations in object-oriented databases z xie  j han vldb 1994|index nesting-an efficient approach to indexing in object-oriented databases bc ooi  j han  h lu  kl tan the vldb journal the international journal on very large & hellip ;  1996.0|0
